Section,Qty. Ordered,Item,Quantity Received,Item Total,Tax,Shipping,Total
LOC Precision,1,LOC 2.56-inch airframe tube,1 tube,$10.27,,,
LOC Precision,2,LOC 1.52-inch airframe/MMT tubes,2 tubes,$18.60,,,
LOC Precision,1,LOC 2.56-inch plastic nose cone,1 nose cone,$19.03,,,
LOC Precision,2,LOC 2.56-inch tube couplers,2 couplers,$8.02,,,
LOC Precision,2,LOC 1.52-inch tube couplers,2 couplers,$4.96,,,
LOC Precision,1,LOC 29 mm motor retainer,1 retainer,$5.50,,,
LOC Precision,1,"1/8-inch tubular Kevlar shock cord, 12 ft",12 ft,$15.34,,,
LOC Precision,1,6 × 6-inch flame-resistant blanket,1 blanket,$7.02,,,
LOC Precision — Summary,,Item subtotal,,$88.74,,,
LOC Precision — Summary,,UPS Ground shipping,,,, $19.07,
LOC Precision — Summary,,Total including shipping,,,,,$107.81
Apogee Components,1,Vertical Dual Egg Protector for BT-80,1 dual-egg cradle,$11.25,,,
Apogee Components,1 pack,Swept Clipped Delta TTW plywood fins,3 fins,$11.12,,,
Apogee Components,1 pack,Standard 1010 rail buttons,2 rail buttons,$5.58,,,
Apogee Components,1,1/8-inch quick link,1 quick link,$5.08,,,
Apogee Components — Summary,,Item subtotal,,$33.03,,,
Apogee Components — Summary,,Sales tax,,,$1.98,,
Apogee Components — Summary,,USPS Ground Advantage shipping,,,, $9.61,
Apogee Components — Summary,,Total including shipping and tax,,,,,$44.62
Cost Summary,,LOC Precision,,$88.74,$0.00,$19.07,$107.81
Cost Summary,,Apogee Components,,$33.03,$1.98,$9.61,$44.62
Grand Total,,Total item cost before tax and shipping,,$121.77,,,
Grand Total,,Total sales tax,,,$1.98,,
Grand Total,,Total shipping,,,,$28.68,
Grand Total,,Final project total,,,,,$152.43
